,country_life,Year,liver_death,country_pop,LifeExpectancy,Region,Country Name,Indicator Name,Pop
4547,"Micronesia, Fed. Sts.",2013,0.0042592379417520435,"Micronesia, Fed. Sts.",68.8,East Asia & Pacific,"Micronesia, Fed. Sts.","Population, female",52122.0
4548,Gabon,2013,0.00624668354838493,Gabon,66.0,Sub-Saharan Africa,Gabon,"Population, female",893274.0
4549,United Kingdom,2013,0.005988880215761848,United Kingdom,82.8,Europe & Central Asia,United Kingdom,"Population, female",32560344.0
4550,Georgia,2013,0.0077174428098900575,Georgia,77.2,Europe & Central Asia,Georgia,"Population, female",1943649.0
4551,Ghana,2013,0.005640032999901585,Ghana,63.4,Sub-Saharan Africa,Ghana,"Population, female",13138221.0
4552,Guinea,2013,0.008470909455819638,Guinea,59.4,Sub-Saharan Africa,Guinea,"Population, female",5690062.0
4553,"Gambia, The",2013,0.008701698498780145,"Gambia, The",62.0,Sub-Saharan Africa,"Gambia, The","Population, female",989462.0
4554,Guinea-Bissau,2013,0.007130107943223564,Guinea-Bissau,58.7,Sub-Saharan Africa,Guinea-Bissau,"Population, female",847112.0
4555,Equatorial Guinea,2013,0.0028075158851726,Equatorial Guinea,58.3,Sub-Saharan Africa,Equatorial Guinea,"Population, female",484414.0
4556,Greece,2013,0.00942050632893256,Greece,83.9,Europe & Central Asia,Greece,"Population, female",5583564.0
4557,Grenada,2013,0.006965713005154255,Grenada,75.1,Latin America & Caribbean,Grenada,"Population, female",53548.0
4558,Guatemala,2013,0.01040810221070183,Guatemala,76.0,Latin America & Caribbean,Guatemala,"Population, female",7647888.0
4559,Guam,2013,0.005917533855121574,Guam,82.3,East Asia & Pacific,Guam,"Population, female",79087.0
4560,Guyana,2013,0.003778099615893206,Guyana,72.4,Latin America & Caribbean,Guyana,"Population, female",381144.0
4561,Honduras,2013,0.004923663922953055,Honduras,76.6,Latin America & Caribbean,Honduras,"Population, female",4407287.0
4562,Croatia,2013,0.00869382127405234,Croatia,80.9,Europe & Central Asia,Croatia,"Population, female",2208465.0
4563,Haiti,2013,0.003417176933448201,Haiti,64.2,Latin America & Caribbean,Haiti,"Population, female",5267506.0
4564,Hungary,2013,0.005967391095112514,Hungary,79.2,Europe & Central Asia,Hungary,"Population, female",5194900.0
4565,Indonesia,2013,0.0029051645758925507,Indonesia,72.7,East Asia & Pacific,Indonesia,"Population, female",124949892.0
4566,India,2013,0.001519498571718522,India,69.5,South Asia,India,"Population, female",614676458.0
4567,Ireland,2013,0.0038698164601336047,Ireland,82.9,Europe & Central Asia,Ireland,"Population, female",2333444.0
4568,"Iran, Islamic Rep.",2013,0.0035938992186625267,"Iran, Islamic Rep.",76.6,Middle East & North Africa,"Iran, Islamic Rep.","Population, female",37841907.0
4569,Iraq,2013,0.0016339642142327061,Iraq,71.8,Middle East & North Africa,Iraq,"Population, female",16401828.0
4570,Iceland,2013,0.003148247041144546,Iceland,83.9,Europe & Central Asia,Iceland,"Population, female",161042.0
4571,Israel,2013,0.003390690882751629,Israel,83.9,Middle East & North Africa,Israel,"Population, female",4069967.0
4572,Italy,2013,0.012204667573676341,Italy,84.9,Europe & Central Asia,Italy,"Population, female",31053693.0
4573,Jamaica,2013,0.003882479164724267,Jamaica,75.6,Latin America & Caribbean,Jamaica,"Population, female",1437226.0
4574,Jordan,2013,0.0009890154934639184,Jordan,75.7,Middle East & North Africa,Jordan,"Population, female",4196092.0
4575,Japan,2013,0.016883907297157198,Japan,86.8,East Asia & Pacific,Japan,"Population, female",65150796.0
4576,Kazakhstan,2013,0.004117034788716504,Kazakhstan,75.0,Europe & Central Asia,Kazakhstan,"Population, female",8792736.0
4577,Kenya,2013,0.0013049822520231481,Kenya,66.4,Sub-Saharan Africa,Kenya,"Population, female",22912189.0
4578,Kyrgyz Republic,2013,0.003977406945105904,Kyrgyz Republic,74.7,Europe & Central Asia,Kyrgyz Republic,"Population, female",2891331.0
4579,Cambodia,2013,0.0032209616025011285,Cambodia,70.2,East Asia & Pacific,Cambodia,"Population, female",7699564.0
4580,Kiribati,2013,0.0072539048972971,Kiribati,71.1,East Asia & Pacific,Kiribati,"Population, female",54867.0
4581,"Korea, Rep.",2013,0.015341236799382407,"Korea, Rep.",84.9,East Asia & Pacific,"Korea, Rep.","Population, female",25160944.0
4582,Kuwait,2013,0.001280349013657056,Kuwait,76.1,Middle East & North Africa,Kuwait,"Population, female",1476160.0
4583,Lao PDR,2013,0.0029784879850849543,Lao PDR,67.9,East Asia & Pacific,Lao PDR,"Population, female",3273473.0
4584,Lebanon,2013,0.0018163716542229278,Lebanon,80.7,Middle East & North Africa,Lebanon,"Population, female",2928916.0
4585,Liberia,2013,0.006465884436238592,Liberia,63.2,Sub-Saharan Africa,Liberia,"Population, female",2118813.0
4586,Libya,2013,0.002907991159706875,Libya,75.2,Middle East & North Africa,Libya,"Population, female",3112114.0
4587,St. Lucia,2013,0.0031522282035629057,St. Lucia,76.8,Latin America & Caribbean,St. Lucia,"Population, female",90095.0
4588,Sri Lanka,2013,0.0021452657278557296,Sri Lanka,79.5,South Asia,Sri Lanka,"Population, female",10628054.0
4589,Lesotho,2013,0.002925681886649621,Lesotho,53.1,Sub-Saharan Africa,Lesotho,"Population, female",1035656.0
4590,Lithuania,2013,0.004382244397770064,Lithuania,79.9,Europe & Central Asia,Lithuania,"Population, female",1597355.0
4591,Luxembourg,2013,0.005592594227854062,Luxembourg,83.7,Europe & Central Asia,Luxembourg,"Population, female",271788.0
4592,Latvia,2013,0.005389936219088074,Latvia,79.2,Europe & Central Asia,Latvia,"Population, female",1090922.0
4593,Morocco,2013,0.0008975284705710094,Morocco,76.7,Middle East & North Africa,Morocco,"Population, female",17046813.0
4594,Moldova,2013,0.01071491387972206,Moldova,75.5,Europe & Central Asia,Moldova,"Population, female",1483913.0
4595,Madagascar,2013,0.0025438603193213226,Madagascar,66.7,Sub-Saharan Africa,Madagascar,"Population, female",11517928.0
4596,Maldives,2013,0.0010903646789638712,Maldives,79.1,South Asia,Maldives,"Population, female",177005.0
4597,Mexico,2013,0.005469351762544733,Mexico,77.9,Latin America & Caribbean,Mexico,"Population, female",60701892.0
4598,North Macedonia,2013,0.00856843211262254,North Macedonia,77.4,Europe & Central Asia,North Macedonia,"Population, female",1031694.0
4599,Mali,2013,0.008070469786421824,Mali,57.7,Sub-Saharan Africa,Mali,"Population, female",8227526.0
4600,Malta,2013,0.0034151437499121617,Malta,83.6,Middle East & North Africa,Malta,"Population, female",213461.0
4601,Myanmar,2013,0.007483119422842263,Myanmar,68.6,East Asia & Pacific,Myanmar,"Population, female",26860456.0
4602,Montenegro,2013,0.006524880483286757,Montenegro,78.7,Europe & Central Asia,Montenegro,"Population, female",314182.0
4603,Mongolia,2013,0.04809522304503224,Mongolia,73.1,East Asia & Pacific,Mongolia,"Population, female",1455446.0
4604,Mozambique,2013,0.006596469427181832,Mozambique,58.7,Sub-Saharan Africa,Mozambique,"Population, female",13204033.0
4605,Mauritania,2013,0.006557170659546454,Mauritania,65.3,Sub-Saharan Africa,Mauritania,"Population, female",1906310.0
4606,Mauritius,2013,0.0036228231558255,Mauritius,77.9,Sub-Saharan Africa,Mauritius,"Population, female",634864.0
4607,Malawi,2013,0.002313482040476234,Malawi,64.1,Sub-Saharan Africa,Malawi,"Population, female",8039829.0
4608,Malaysia,2013,0.0034877659605387994,Malaysia,77.5,East Asia & Pacific,Malaysia,"Population, female",14278481.0
4609,Namibia,2013,0.0008759111427171457,Namibia,64.1,Sub-Saharan Africa,Namibia,"Population, female",1153085.0
4610,Niger,2013,0.003972808238500128,Niger,61.2,Sub-Saharan Africa,Niger,"Population, female",9237798.0
4611,Nigeria,2013,0.004196660955003248,Nigeria,53.5,Sub-Saharan Africa,Nigeria,"Population, female",84829345.0
4612,Nicaragua,2013,0.0051376616940821615,Nicaragua,76.8,Latin America & Caribbean,Nicaragua,"Population, female",3075329.0
4613,Netherlands,2013,0.004719077123558094,Netherlands,83.4,Europe & Central Asia,Netherlands,"Population, female",8455043.0
4614,Norway,2013,0.0033180311064427543,Norway,83.8,Europe & Central Asia,Norway,"Population, female",2528608.0
4615,Nepal,2013,0.0016805729980437847,Nepal,70.6,South Asia,Nepal,"Population, female",14221340.0
4616,New Zealand,2013,0.004117580385795145,New Zealand,83.3,East Asia & Pacific,New Zealand,"Population, female",2258608.0
4617,Oman,2013,0.0014795510661190863,Oman,79.1,Middle East & North Africa,Oman,"Population, female",1365279.0
4618,Pakistan,2013,0.0021875648254662716,Pakistan,67.3,South Asia,Pakistan,"Population, female",92797250.0
4619,Panama,2013,0.003815936796780166,Panama,80.8,Latin America & Caribbean,Panama,"Population, female",1910409.0
4620,Peru,2013,0.006080726928853357,Peru,78.2,Latin America & Caribbean,Peru,"Population, female",14965316.0
4621,Philippines,2013,0.004485077708150571,Philippines,74.9,East Asia & Pacific,Philippines,"Population, female",49051547.0
4622,Papua New Guinea,2013,0.002643736830395121,Papua New Guinea,64.5,East Asia & Pacific,Papua New Guinea,"Population, female",3820350.0
4623,Poland,2013,0.004836775641243558,Poland,81.6,Europe & Central Asia,Poland,"Population, female",19620509.0
4624,Puerto Rico,2013,0.006951276896094451,Puerto Rico,82.9,Latin America & Caribbean,Puerto Rico,"Population, female",1870160.0
4625,"Korea, Dem. People's Rep.",2013,0.018677141979788037,"Korea, Dem. People's Rep.",74.5,East Asia & Pacific,"Korea, Dem. People's Rep.","Population, female",12742849.0
4626,Portugal,2013,0.005958221388921534,Portugal,84.0,Europe & Central Asia,Portugal,"Population, female",5488215.0
4627,Paraguay,2013,0.0022707326334305638,Paraguay,75.5,Latin America & Caribbean,Paraguay,"Population, female",3197206.0
4629,Qatar,2013,0.0012786281756540464,Qatar,81.3,Middle East & North Africa,Qatar,"Population, female",549808.0
4630,Romania,2013,0.009935488483648669,Romania,78.7,Europe & Central Asia,Romania,"Population, female",10266229.0
4631,Russian Federation,2013,0.005453909896967461,Russian Federation,76.5,Europe & Central Asia,Russian Federation,"Population, female",77008973.0
4632,Rwanda,2013,0.0034688364995698463,Rwanda,68.8,Sub-Saharan Africa,Rwanda,"Population, female",5506169.0
4633,Saudi Arabia,2013,0.004038260951656423,Saudi Arabia,76.2,Middle East & North Africa,Saudi Arabia,"Population, female",13050172.0
4634,Sudan,2013,0.002234241063304932,Sudan,65.9,Sub-Saharan Africa,Sudan,"Population, female",18574540.0
4635,Senegal,2013,0.005861009892961012,Senegal,68.2,Sub-Saharan Africa,Senegal,"Population, female",7080691.0
4636,Singapore,2013,0.005713750431932325,Singapore,84.9,East Asia & Pacific,Singapore,"Population, female",2572741.0
4637,Solomon Islands,2013,0.0035187715253465405,Solomon Islands,73.8,East Asia & Pacific,Solomon Islands,"Population, female",281064.0
4638,Sierra Leone,2013,0.004875919459098001,Sierra Leone,53.2,Sub-Saharan Africa,Sierra Leone,"Population, female",3445504.0
4639,El Salvador,2013,0.005946620478229031,El Salvador,76.7,Latin America & Caribbean,El Salvador,"Population, female",3312806.0
4640,Somalia,2013,0.0026742429752985527,Somalia,57.2,Sub-Saharan Africa,Somalia,"Population, female",6543908.0
4641,Serbia,2013,0.009501096596307441,Serbia,77.8,Europe & Central Asia,Serbia,"Population, female",3652210.0
4642,South Sudan,2013,0.0032455113419030284,South Sudan,58.0,Sub-Saharan Africa,South Sudan,"Population, female",5176380.0
4643,Sao Tome and Principe,2013,0.0008961600583546084,Sao Tome and Principe,71.4,Sub-Saharan Africa,Sao Tome and Principe,"Population, female",95965.0
4644,Suriname,2013,0.005555085478417941,Suriname,74.5,Latin America & Caribbean,Suriname,"Population, female",271823.0
4645,Slovak Republic,2013,0.005313881654110826,Slovak Republic,80.1,Europe & Central Asia,Slovak Republic,"Population, female",2785158.0
4646,Slovenia,2013,0.0063857268394414135,Slovenia,83.4,Europe & Central Asia,Slovenia,"Population, female",1036687.0
4647,Sweden,2013,0.005512045066480464,Sweden,84.0,Europe & Central Asia,Sweden,"Population, female",4807653.0
4648,Eswatini,2013,0.002463470255356288,Eswatini,57.3,Sub-Saharan Africa,Eswatini,"Population, female",568304.0
4649,Seychelles,2013,0.0036314325771679428,Seychelles,77.1,Sub-Saharan Africa,Seychelles,"Population, female",43509.0
4650,Syrian Arab Republic,2013,0.0016787787636340268,Syrian Arab Republic,76.6,Middle East & North Africa,Syrian Arab Republic,"Population, female",9709439.0
4651,Chad,2013,0.004242110693123146,Chad,54.2,Sub-Saharan Africa,Chad,"Population, female",6624061.0
4652,Togo,2013,0.005655295999049453,Togo,60.3,Sub-Saharan Africa,Togo,"Population, female",3501143.0
4653,Thailand,2013,0.018353336890836163,Thailand,79.5,East Asia & Pacific,Thailand,"Population, female",34816557.0
4654,Tajikistan,2013,0.0022644763035330087,Tajikistan,72.3,Europe & Central Asia,Tajikistan,"Population, female",3992093.0
4655,Turkmenistan,2013,0.0027779031564979634,Turkmenistan,71.0,Europe & Central Asia,Turkmenistan,"Population, female",2725077.0
4656,Timor-Leste,2013,0.002262130014607398,Timor-Leste,70.1,East Asia & Pacific,Timor-Leste,"Population, female",570259.0
4657,Tonga,2013,0.010660267883484452,Tonga,72.4,East Asia & Pacific,Tonga,"Population, female",50843.0
4658,Trinidad and Tobago,2013,0.003407254674007619,Trinidad and Tobago,75.5,Latin America & Caribbean,Trinidad and Tobago,"Population, female",683835.0
4659,Tunisia,2013,0.00131684937800633,Tunisia,77.8,Middle East & North Africa,Tunisia,"Population, female",5513159.0
4660,Turkey,2013,0.002381786728285226,Turkey,79.2,Europe & Central Asia,Turkey,"Population, female",38584479.0
4661,Tanzania,2013,0.003647555861741659,Tanzania,64.3,Sub-Saharan Africa,Tanzania,"Population, female",24290238.0
4662,Uganda,2013,0.003273270380550414,Uganda,62.5,Sub-Saharan Africa,Uganda,"Population, female",18177539.0
4663,Ukraine,2013,0.0033343871794774354,Ukraine,76.1,Europe & Central Asia,Ukraine,"Population, female",24472263.0
4664,Uruguay,2013,0.002683065074296977,Uruguay,80.9,Latin America & Caribbean,Uruguay,"Population, female",1755455.0
4665,United States,2013,0.005112007110457753,United States,81.3,North America,United States,"Population, female",159819809.0
4666,Uzbekistan,2013,0.0030550048353352394,Uzbekistan,73.0,Europe & Central Asia,Uzbekistan,"Population, female",15188192.0
4667,St. Vincent and the Grenadines,2013,0.0039050032854594952,St. Vincent and the Grenadines,74.6,Latin America & Caribbean,St. Vincent and the Grenadines,"Population, female",53265.0
4668,"Venezuela, RB",2013,0.003231806219025596,"Venezuela, RB",76.7,Latin America & Caribbean,"Venezuela, RB","Population, female",14945203.0
4669,Vietnam,2013,0.006717813817897587,Vietnam,79.2,East Asia & Pacific,Vietnam,"Population, female",45550533.0
4670,Vanuatu,2013,0.0032671724323426335,Vanuatu,71.4,East Asia & Pacific,Vanuatu,"Population, female",126409.0
4671,"Yemen, Rep.",2013,0.0017881843513822345,"Yemen, Rep.",67.8,Middle East & North Africa,"Yemen, Rep.","Population, female",12470750.0
4672,South Africa,2013,0.003049273015059363,South Africa,65.4,Sub-Saharan Africa,South Africa,"Population, female",27186808.0
4673,Zambia,2013,0.0035245779019830786,Zambia,63.2,Sub-Saharan Africa,Zambia,"Population, female",7547003.0
4674,Zimbabwe,2013,0.008327195062187579,Zimbabwe,59.9,Sub-Saharan Africa,Zimbabwe,"Population, female",7001157.0
4675,Afghanistan,2014,0.002359536572231606,Afghanistan,64.9,South Asia,Afghanistan,"Population, female",16232001.0
4676,Angola,2014,0.0026728769444904405,Angola,62.2,Sub-Saharan Africa,Angola,"Population, female",13618285.0
4677,Albania,2014,0.0064195062892860415,Albania,80.1,Europe & Central Asia,Albania,"Population, female",1420670.0
4678,United Arab Emirates,2014,0.0009853127990622542,United Arab Emirates,78.7,Middle East & North Africa,United Arab Emirates,"Population, female",2648905.0
4679,Argentina,2014,0.004304567822761476,Argentina,79.4,Latin America & Caribbean,Argentina,"Population, female",21883730.0
4680,Armenia,2014,0.01152474291082633,Armenia,77.7,Europe & Central Asia,Armenia,"Population, female",1544503.0
4683,Antigua and Barbuda,2014,0.004015813566375364,Antigua and Barbuda,77.7,Latin America & Caribbean,Antigua and Barbuda,"Population, female",48060.0
4684,Australia,2014,0.004392329684018182,Australia,84.8,East Asia & Pacific,Australia,"Population, female",11770519.0
4685,Austria,2014,0.0064798693585066715,Austria,83.6,Europe & Central Asia,Austria,"Population, female",4367372.0
4686,Azerbaijan,2014,0.006007327688253067,Azerbaijan,75.0,Europe & Central Asia,Azerbaijan,"Population, female",4794145.0
4687,Burundi,2014,0.0031377426797569536,Burundi,61.9,Sub-Saharan Africa,Burundi,"Population, female",4971727.0
4688,Belgium,2014,0.00566315352441012,Belgium,83.4,Europe & Central Asia,Belgium,"Population, female",5703536.0
4689,Benin,2014,0.006138733042960287,Benin,62.1,Sub-Saharan Africa,Benin,"Population, female",5163932.0
4690,Burkina Faso,2014,0.00556850976039789,Burkina Faso,60.5,Sub-Saharan Africa,Burkina Faso,"Population, female",8835398.0
4691,Bangladesh,2014,0.00110835095828037,Bangladesh,73.3,South Asia,Bangladesh,"Population, female",76149165.0
4692,Bulgaria,2014,0.008033767704954758,Bulgaria,78.2,Europe & Central Asia,Bulgaria,"Population, female",3709343.0
4693,Bahrain,2014,0.001620149045923047,Bahrain,77.8,Middle East & North Africa,Bahrain,"Population, female",513533.0
4694,"Bahamas, The",2014,0.004470298456620287,"Bahamas, The",75.3,Latin America & Caribbean,"Bahamas, The","Population, female",190815.0
4695,Bosnia and Herzegovina,2014,0.012117174770802229,Bosnia and Herzegovina,79.3,Europe & Central Asia,Bosnia and Herzegovina,"Population, female",1774341.0
4696,Belarus,2014,0.0033445338936845897,Belarus,78.8,Europe & Central Asia,Belarus,"Population, female",5053021.0
4697,Belize,2014,0.005081421441450607,Belize,76.9,Latin America & Caribbean,Belize,"Population, female",176919.0
4698,Bolivia,2014,0.006518025628050277,Bolivia,73.1,Latin America & Caribbean,Bolivia,"Population, female",5323698.0
4699,Brazil,2014,0.004236794358984285,Brazil,78.7,Latin America & Caribbean,Brazil,"Population, female",102907992.0
4700,Barbados,2014,0.00623069838001842,Barbados,80.2,Latin America & Caribbean,Barbados,"Population, female",147656.0
4701,Brunei Darussalam,2014,0.004426802740450101,Brunei Darussalam,76.5,East Asia & Pacific,Brunei Darussalam,"Population, female",196756.0
4702,Bhutan,2014,0.0015874695734998411,Bhutan,70.7,South Asia,Bhutan,"Population, female",340164.0
4703,Botswana,2014,0.0024889017189150976,Botswana,70.0,Sub-Saharan Africa,Botswana,"Population, female",1080798.0
4704,Central African Republic,2014,0.00383168130001887,Central African Republic,52.8,Sub-Saharan Africa,Central African Republic,"Population, female",2252275.0
4705,Canada,2014,0.004231778777830942,Canada,84.1,North America,Canada,"Population, female",17864828.0
4706,Switzerland,2014,0.004759334698159128,Switzerland,85.1,Europe & Central Asia,Switzerland,"Population, female",4139234.0
4707,Chile,2014,0.006264451896493515,Chile,82.3,Latin America & Caribbean,Chile,"Population, female",9019145.0
4708,China,2014,0.015138237581829798,China,78.3,East Asia & Pacific,China,"Population, female",667184667.0
4709,Cote d'Ivoire,2014,0.0038444238554189076,Cote d'Ivoire,57.3,Sub-Saharan Africa,Cote d'Ivoire,"Population, female",11185031.0
4710,Cameroon,2014,0.007100619031262369,Cameroon,58.9,Sub-Saharan Africa,Cameroon,"Population, female",11351123.0
4711,"Congo, Dem. Rep.",2014,0.002757242627619786,"Congo, Dem. Rep.",60.7,Sub-Saharan Africa,"Congo, Dem. Rep.","Population, female",36993480.0
4712,"Congo, Rep.",2014,0.004337163511906566,"Congo, Rep.",64.3,Sub-Saharan Africa,"Congo, Rep.","Population, female",2374824.0
4713,Colombia,2014,0.004508515082151824,Colombia,79.3,Latin America & Caribbean,Colombia,"Population, female",23954672.0
4714,Comoros,2014,0.003373738500731862,Comoros,65.2,Sub-Saharan Africa,Comoros,"Population, female",376437.0
4715,Cabo Verde,2014,0.005610217560367875,Cabo Verde,75.4,Sub-Saharan Africa,Cabo Verde,"Population, female",258457.0
4716,Costa Rica,2014,0.00463373845844288,Costa Rica,82.2,Latin America & Caribbean,Costa Rica,"Population, female",2395474.0
4717,Cuba,2014,0.007279481813427937,Cuba,80.5,Latin America & Caribbean,Cuba,"Population, female",5687218.0
4718,Cyprus,2014,0.0034918627437354943,Cyprus,82.5,Europe & Central Asia,Cyprus,"Population, female",575624.0
4719,Czech Republic,2014,0.005864443208470497,Czech Republic,81.5,Europe & Central Asia,Czech Republic,"Population, female",5354302.0
4720,Germany,2014,0.006458329848222693,Germany,83.2,Europe & Central Asia,Germany,"Population, female",41187119.0
4721,Djibouti,2014,0.004072818200761523,Djibouti,66.1,Middle East & North Africa,Djibouti,"Population, female",422312.0
4722,Denmark,2014,0.0039465788270979145,Denmark,82.5,Europe & Central Asia,Denmark,"Population, female",2837901.0
4723,Dominican Republic,2014,0.0053413160056574585,Dominican Republic,76.5,Latin America & Caribbean,Dominican Republic,"Population, female",5073656.0
4724,Algeria,2014,0.001261108720078963,Algeria,77.3,Middle East & North Africa,Algeria,"Population, female",19268759.0
4725,Ecuador,2014,0.006151334632478469,Ecuador,79.0,Latin America & Caribbean,Ecuador,"Population, female",7965751.0
4726,"Egypt, Arab Rep.",2014,0.006416633487976436,"Egypt, Arab Rep.",73.6,Middle East & North Africa,"Egypt, Arab Rep.","Population, female",44727504.0
4728,Spain,2014,0.007192705919237336,Spain,85.7,Europe & Central Asia,Spain,"Population, female",23635055.0
4729,Estonia,2014,0.005837236717788872,Estonia,82.0,Europe & Central Asia,Estonia,"Population, female",700674.0
4730,Ethiopia,2014,0.003566146526195272,Ethiopia,66.9,Sub-Saharan Africa,Ethiopia,"Population, female",49072577.0
4731,Finland,2014,0.006126249754950009,Finland,84.1,Europe & Central Asia,Finland,"Population, female",2774944.0
4732,Fiji,2014,0.004674214309202799,Fiji,68.8,East Asia & Pacific,Fiji,"Population, female",425740.0
4733,France,2014,0.0066416762139543135,France,85.2,Europe & Central Asia,France,"Population, female",34178119.0
4734,"Micronesia, Fed. Sts.",2014,0.004256929334973039,"Micronesia, Fed. Sts.",69.0,East Asia & Pacific,"Micronesia, Fed. Sts.","Population, female",52855.0
4735,Gabon,2014,0.006118065696783908,Gabon,66.7,Sub-Saharan Africa,Gabon,"Population, female",925129.0
4736,United Kingdom,2014,0.006009735649727469,United Kingdom,82.9,Europe & Central Asia,United Kingdom,"Population, female",32780144.0
4737,Georgia,2014,0.007408798462674318,Georgia,77.4,Europe & Central Asia,Georgia,"Population, female",1943635.0
4738,Ghana,2014,0.005662520055068566,Ghana,63.7,Sub-Saharan Africa,Ghana,"Population, female",13439246.0
4739,Guinea,2014,0.008575934312811586,Guinea,60.0,Sub-Saharan Africa,Guinea,"Population, female",5818608.0
4740,"Gambia, The",2014,0.00880442221224344,"Gambia, The",62.3,Sub-Saharan Africa,"Gambia, The","Population, female",1019942.0
4741,Guinea-Bissau,2014,0.007110853371441983,Guinea-Bissau,59.0,Sub-Saharan Africa,Guinea-Bissau,"Population, female",869094.0
4742,Equatorial Guinea,2014,0.0027813869584738925,Equatorial Guinea,58.6,Sub-Saharan Africa,Equatorial Guinea,"Population, female",503346.0
4743,Greece,2014,0.009809251530666984,Greece,84.1,Europe & Central Asia,Greece,"Population, female",5545785.0
4744,Grenada,2014,0.007063534733680639,Grenada,75.0,Latin America & Caribbean,Grenada,"Population, female",53939.0
4745,Guatemala,2014,0.010566851145204989,Guatemala,76.3,Latin America & Caribbean,Guatemala,"Population, female",7779044.0
4746,Guam,2014,0.006091805011894123,Guam,82.6,East Asia & Pacific,Guam,"Population, female",79451.0
4747,Guyana,2014,0.0038703434929850027,Guyana,72.6,Latin America & Caribbean,Guyana,"Population, female",382395.0
4748,Honduras,2014,0.004994208724481321,Honduras,76.8,Latin America & Caribbean,Honduras,"Population, female",4485195.0
4749,Croatia,2014,0.008681182877071269,Croatia,81.0,Europe & Central Asia,Croatia,"Population, female",2200161.0
4750,Haiti,2014,0.003463121777775781,Haiti,64.6,Latin America & Caribbean,Haiti,"Population, female",5342001.0
4751,Hungary,2014,0.00596606870825924,Hungary,79.4,Europe & Central Asia,Hungary,"Population, female",5179290.0
4752,Indonesia,2014,0.0029379544070702156,Indonesia,73.0,East Asia & Pacific,Indonesia,"Population, female",126618711.0
4753,India,2014,0.0015534217943900626,India,69.8,South Asia,India,"Population, female",621852998.0
4754,Ireland,2014,0.003852001510188671,Ireland,83.1,Europe & Central Asia,Ireland,"Population, female",2352024.0
4755,"Iran, Islamic Rep.",2014,0.003604868202100196,"Iran, Islamic Rep.",76.9,Middle East & North Africa,"Iran, Islamic Rep.","Population, female",38281566.0
4756,Iraq,2014,0.0016217420612200577,Iraq,72.0,Middle East & North Africa,Iraq,"Population, female",17018736.0
4757,Iceland,2014,0.0032695775926584797,Iceland,84.0,Europe & Central Asia,Iceland,"Population, female",163018.0
4758,Israel,2014,0.0034015008579743123,Israel,84.0,Middle East & North Africa,Israel,"Population, female",4145229.0
4759,Italy,2014,0.012230253848019457,Italy,85.0,Europe & Central Asia,Italy,"Population, female",31315785.0
4760,Jamaica,2014,0.00394901278138445,Jamaica,75.7,Latin America & Caribbean,Jamaica,"Population, female",1445931.0
4761,Jordan,2014,0.0009754438269412583,Jordan,75.8,Middle East & North Africa,Jordan,"Population, female",4397998.0
4762,Japan,2014,0.017210790944640692,Japan,87.0,East Asia & Pacific,Japan,"Population, female",65075452.0
4763,Kazakhstan,2014,0.004091574137305606,Kazakhstan,75.7,Europe & Central Asia,Kazakhstan,"Population, female",8920772.0
4764,Kenya,2014,0.0013359153655921724,Kenya,67.1,Sub-Saharan Africa,Kenya,"Population, female",23504483.0
4765,Kyrgyz Republic,2014,0.00400155857315273,Kyrgyz Republic,75.0,Europe & Central Asia,Kyrgyz Republic,"Population, female",2948851.0
4766,Cambodia,2014,0.0032968309404261373,Cambodia,70.6,East Asia & Pacific,Cambodia,"Population, female",7825697.0
4767,Kiribati,2014,0.007367872481894801,Kiribati,71.4,East Asia & Pacific,Kiribati,"Population, female",55647.0
4768,"Korea, Rep.",2014,0.01591729767100312,"Korea, Rep.",85.1,East Asia & Pacific,"Korea, Rep.","Population, female",25318368.0
4769,Kuwait,2014,0.001401380914234836,Kuwait,76.2,Middle East & North Africa,Kuwait,"Population, female",1534201.0
4770,Lao PDR,2014,0.003010445461466901,Lao PDR,68.3,East Asia & Pacific,Lao PDR,"Population, female",3315124.0
4771,Lebanon,2014,0.0017994840406046007,Lebanon,80.7,Middle East & North Africa,Lebanon,"Population, female",3106446.0
4772,Liberia,2014,0.006487704190136665,Liberia,63.7,Sub-Saharan Africa,Liberia,"Population, female",2173342.0
4773,Libya,2014,0.0029829313227866315,Libya,75.3,Middle East & North Africa,Libya,"Population, female",3137853.0
4774,St. Lucia,2014,0.0031712356769538455,St. Lucia,77.0,Latin America & Caribbean,St. Lucia,"Population, female",90501.0
4775,Sri Lanka,2014,0.0021681300148475033,Sri Lanka,79.7,South Asia,Sri Lanka,"Population, female",10746588.0
4776,Lesotho,2014,0.0028914505283381365,Lesotho,54.3,Sub-Saharan Africa,Lesotho,"Population, female",1041000.0
4777,Lithuania,2014,0.004579946278809441,Lithuania,80.3,Europe & Central Asia,Lithuania,"Population, female",1582988.0
4778,Luxembourg,2014,0.0056179775280898875,Luxembourg,83.8,Europe & Central Asia,Luxembourg,"Population, female",277680.0
4779,Latvia,2014,0.005433288565010177,Latvia,79.4,Europe & Central Asia,Latvia,"Population, female",1080377.0
4780,Morocco,2014,0.0009149131362359513,Morocco,77.0,Middle East & North Africa,Morocco,"Population, female",17269399.0
4781,Moldova,2014,0.010988173893581895,Moldova,75.8,Europe & Central Asia,Moldova,"Population, female",1483413.0
